alpha,I,alpha,I
6,68,46,42
8,62,48,40
10,66,50,38
12,66,52,32
14,68,54,30
16,64,56,28
18,66,58,24
20,61,60,20
22,64,62,18
24,62,64,14
26,60,66,10
28,58,68,7.5
30,57,70,4
32,56,72,2.4
34,54,74,1
36,52,76,1
38,50,78,2.5
40,49,80,7.5
42,46,82,18
44,44,84,34
,,86,61
,,88,96
