18,0	139,0
18,1	132,0
18,2	135,0
18,3	139,0
18,4	135,0
18,5	135,0
18,6	129,0
18,7	142,0
18,8	133,0
18,9	144,0
19,0	136,0
19,1	132,0
19,2	143,0
19,3	133,0
19,4	149,0
19,5	138,0
19,6	139,0
19,7	145,0
19,8	178,0
19,9	415,0
20,0	1156,0
20,1	1345,0
20,2	1375,0
20,3	1228,0
20,4	683,0
20,5	252,0
20,6	205,0
20,7	183,0
20,8	177,0
20,9	162,0
21,0	153,0
21,1	137,0
21,2	161,0
21,3	154,0
21,4	145,0
21,5	145,0
21,6	154,0
21,7	156,0
21,8	170,0
21,9	191,0
22,0	246,0
22,1	466,0
22,2	2418,0
22,3	4187,0
22,4	4887,0
22,5	4687,0
22,6	3553,0
22,7	1528,0
22,8	495,0
22,9	211,0
23,0	180,0
23,1	150,0
23,2	123,0
23,3	120,0
23,4	127,0
23,5	120,0
23,6	113,0
23,7	108,0
23,8	100,0
23,9	101,0
24,0	101,0
