4,0	27,0
4,2	32,0
4,4	32,0
4,6	41,0
4,8	33,0
5,0	32,0
5,2	38,0
5,4	46,0
5,6	52,0
5,8	63,0
6,0	70,0
6,2	76,0
6,4	81,0
6,6	93,0
6,8	105,0
7,0	119,0
7,2	119,0
7,4	133,0
7,6	130,0
7,8	144,0
8,0	158,0
8,2	167,0
8,4	172,0
8,6	185,0
8,8	174,0
9,0	186,0
9,2	200,0
9,4	193,0
9,6	207,0
9,8	213,0
10,0	218,0
10,2	212,0
10,4	218,0
10,6	234,0
10,8	230,0
11,0	240,0
11,2	253,0
11,4	253,0
11,6	253,0
11,8	257,0
12,0	246,0
12,2	255,0
12,4	247,0
12,6	254,0
12,8	246,0
13,0	242,0
13,2	230,0
13,4	215,0
13,6	200,0
13,8	208,0
14,0	192,0
14,2	190,0
14,4	190,0
14,6	196,0
14,8	192,0
15,0	169,0
15,2	184,0
15,4	169,0
15,6	179,0
15,8	173,0
16,0	176,0
16,2	171,0
16,4	162,0
16,6	162,0
16,8	153,0
17,0	160,0
17,2	156,0
17,4	151,0
17,6	150,0
17,8	139,0
18,0	139,0
18,2	134,0
18,4	144,0
18,6	131,0
18,8	138,0
19,0	135,0
19,2	125,0
19,4	135,0
19,6	148,0
19,8	177,0
20,0	1157,0
20,2	1369,0
20,4	658,0
20,6	207,0
20,8	170,0
21,0	151,0
21,2	144,0
21,4	150,0
21,6	163,0
21,8	162,0
22,0	248,0
22,2	2368,0
22,4	4906,0
22,6	3574,0
22,8	465,0
23,0	176,0
23,2	135,0
23,4	116,0
23,6	110,0
23,8	113,0
24,0	96,0
24,2	90,0
24,4	89,0
24,6	84,0
24,8	90,0
25,0	83,0
25,2	76,0
25,4	77,0
25,6	79,0
25,8	77,0
26,0	69,0
