# x_sec/micros delta_nu/Hz I_s/V^2/s
12.000 0.000 20.000
12.500 45.100 40.000
13.000 53.100 59.000
13.500 58.400 65.000
14.000 66.300 74.000
14.500 66.300 82.000
15.000 63.700 99.000
15.500 53.100 117.000
16.000 53.100 140.000
16.500 42.400 130.000
17.000 37.100 88.000
17.500 31.800 52.000
18.000 0.000 27.000
18.500 0.000 19.000
19.000 0.000 17.000
